# SpiritVale's complete StatType catalog, 219 entries, read from the community
# client datamine at spiritvalers.com/mechanics in July 2026.
#
# This is the game's entire stat vocabulary: every value an item, skill, buff or
# passive is allowed to move. `flat` adds a number, `percent` a multiplier.
#
# Worth noticing before reading the rows:
#   - The first six are the six attributes, ids 0 to 5, then AllStats at 6.
#   - Ids 92 to 175 are almost entirely SUMMON stats. A summoner class needs a
#     parallel copy of most of the sheet.
#   - Ids 197 to 218 are all SKILL-modifier stats (Skill Pull, Skill Instances,
#     Skill Replace, Skill Apply Status). Gear here can rewrite what a skill
#     does, not just how hard it hits.
#   - Ids 28 to 38 are the DENIAL flags (No Action, No Move, Cannot Attack,
#     No Cast, No Flee, No Regen). Statuses are expressed as stats.
#
id	stat	internalKey	type
176	Siphon HP	SiphonHp	flat
177	Siphon MP	SiphonMp	flat
178	Heal Share	HealShare	flat
179	Death Share	DeathShare	flat
180	Autocast Death	AutocastDeath	flat
181	Autocast Kill	AutocastKill	flat
182	Cooldown Recovery	CooldownRecovery	percent
183	Max Stacks	StatusMaxStacks	flat
184	Twohanded Stance Bonus	TwohandedStanceBonus	flat
185	Attack Speed Limit	AtkSpdLimit	flat
186	Auto-attack uses Matk	AutoattackMatk	percent
187	Cast Time Reduction	CastTimeReduction	flat
188	Cast Time Reduction Limit	CastTimeReductionLimit	flat
189	Cast Range	CastRange	flat
190	Dodge Recovery	DodgeRecovery	flat
191	Atk Spd Flat	AtkSpdFlat	flat
192	Threat Generation	ThreatMult	percent
193	DEF Pierce	DefPierce	percent
194	MDEF Pierce	MdefPierce	percent
195	Perfect Hit	PerfectHit	percent
196	Healing to Barrier	HealingToBarrier	percent
197	Skill Pull	SkillPull	flat
198	Skill Damage Low Hp	SkillDamageLowHp	flat
199	Skill Range	SkillRange	flat
200	Skill Instances	SkillInstances	flat
201	Skill Crit	SkillCrit	flat
202	Skill Leap	SkillLeap	flat
203	Skill Threat	SkillThreat	flat
204	Skill Cast Time Mult	SkillCastTimeMult	percent
205	Skill Hits Mult	SkillHitsMult	percent
206	Skill Duration Mult	SkillDurationMult	percent
207	Skill Damage Received	SkillDamageReceived	flat
208	Skill Damage Vs Status	SkillDamageVsStatus	flat
209	Skill Replace	SkillReplace	flat
210	Status Replace	StatusReplace	flat
211	Status Duration	StatusDuration	percent
212	Skill Max Instances	SkillMaxInstances	flat
213	Skill Autocast	SkillAutocast	flat
214	Skill Apply Status	SkillApplyStatus	flat
215	Skill Consume Status	SkillConsumeStatus	flat
216	Skill Recover Hp	SkillRecoverHp	flat
217	Skill Recover Mp	SkillRecoverMp	flat
218	Damage Vs Status	DamageVsStatus	percent
